CODINST,NOMBREINSTITUCION,CODIGOMUNICIPIO,NOMBREMUNICIPIO,DEPARTAMENTO,CALENDARIO,NATURALEZA,JORNADA,EVALUADOS,PROMLECTURACRITICA,PROMMATEMATICA,PROMSOCIALESYCIUDADANAS,PROMCIENCIASNATURALES,PROMINGLES,DESVLECTURACRITICA,DESVMATEMATICA,DESVSOCIALESYCIUDADANAS,DESVCIENCIASNATURALES,DESVINGLES,PERIODO
146068,SEDE PRINCIPAL,11001,BOGOTÁ D.C.,BOGOTA,A,OFICIAL,MAÑANA,34,"53,0588235294118","50,5882352941176","51,9117647058824","51,8823529411765","54,4411764705882","8,75228516124058","9,96088607187626","9,33993591263077","9,11463926007797","8,09485873674856",52
146100,SEDE 1 LUIS CARLOS GALAN SARMIENTO,73001,IBAGUE,TOLIMA,A,OFICIAL,NOCTURNA,12,"45,8333333333333","40,3333333333333","45,75","46,5833333333333",46,"8,20014781832768","5,94418483337567","7,37471108833178","7,26709061871435","8,15753973606347",45
146134,IE MUNICIPAL NACIONAL - SEDE PRINCIPAL,41551,PITALITO,HUILA,A,OFICIAL,FIN DE SEMANA,40,"48,475","45,7",45,"45,525","45,225","8,2586008003467","9,2381594348436","8,2710492931826","8,10503958452188","9,17210794215616",46
146142,SALEN,41359,ISNOS,HUILA,A,OFICIAL,COMPLETA,26,"52,1923076923077","48,5384615384615","51,0769230769231","50,4615384615385","47,3461538461538","7,95496941927111","9,84370161770772","8,27972500472366","8,2570249810971","6,15104744050837",50
146159,SALEN,41359,ISNOS,HUILA,A,OFICIAL,FIN DE SEMANA,45,"42,2888888888889","37,4666666666667","40,6","40,6444444444444","39,7333333333333","8,6013271233472","7,70064932327138","7,1965901016321","6,85617026532092","4,74533263514601",40
146167,I.E. SAGRADO CORAZON DE JESUS - SEDE PRINCIPAL,20295,GAMARRA,CESAR,A,OFICIAL,MAÑANA,10,"40,3","37,7","35,6","43,6","39,3","4,96767327606977","6,83211371229854","4,69515116310907","7,02693231629406","6,25477595299961",39
146175,SEDE BETHLEMITAS BRIGHTON,54518,PAMPLONA,NORTE SANTANDER,A,OFICIAL,COMPLETA,1,62,65,62,62,59,0,0,0,0,0,62
146183,COLEGIO ISABEL VALBUENA CIFUENTES,68861,VELEZ,SANTANDER,A,OFICIAL,NOCTURNA,26,"46,0769230769231","41,5769230769231","42,6538461538462","42,4615384615385","42,4615384615385","8,52724141524363","10,2768597418592","8,21677458711048","8,58943895364892","7,27313285582365",43
146209,INSTITUCION EDUCATIVA DEPARTAMENTAL MINIPI DE QUIJANO,25394,LA PALMA,CUNDINAMARCA,A,OFICIAL,MAÑANA,15,"44,4","38,4666666666667",39,"43,2666666666667","43,1333333333333","8,13984906844979","5,84155882652991","9,50187951332337","6,96385224536234","6,1744481149176",41
146217,LIC LATINOAMERICANO,11001,BOGOTÁ D.C.,BOGOTA,A,NO OFICIAL,COMPLETA,19,"61,1578947368421","62,2631578947368","56,7368421052632","57,3684210526316","61,4210526315789","5,91855047846023","8,23166045935622","8,15026997005592","7,70433158334964","11,2660541720776",60
146225,COLEGIO PAULO FREIRE (IED) - SEDE PRINCIPAL,11001,BOGOTÁ D.C.,BOGOTA,A,OFICIAL,MAÑANA,140,"53,9142857142857","51,1285714285714","51,65","53,2428571428571","48,9357142857143","8,52797825719497","10,0629978635621","10,5044868796299","7,69552932774096","8,87986220183261",52
146233,COLEGIO JUAN PABLO II,68615,RIONEGRO,SANTANDER,A,OFICIAL,NOCTURNA,3,"45,3333333333333","34,6666666666667","41,6666666666667",39,"45,3333333333333","8,9628864398325","2,08166599946613","3,51188458428425","6,557438524302","13,6503968196288",41
146241,I. E. R. PIEDRAS BLANCAS,05318,GUARNE,ANTIOQUIA,A,OFICIAL,COMPLETA,6,"59,3333333333333","55,1666666666667","53,6666666666667","56,6666666666667","50,8333333333333","5,35412613473634","5,84522597225006","3,44480284873702","7,33939143707887","12,9987178854942",56
146266,INSTITUTO POLITECNICO ARAUCANO - INSPOAR - SEDE PRINCIPAL,81001,ARAUCA,ARAUCA,A,NO OFICIAL,COMPLETA,14,"50,4285714285714","49,7857142857143","48,5",49,"51,0714285714286","8,80309635835627","10,2969642384284","12,4884562080963","9,69535971483266","9,91862494900986",50
146274,INSTITUCION EDUCATIVA MERCEDES ABREGO,13001,CARTAGENA,BOLIVAR,A,OFICIAL,MAÑANA,94,"54,6702127659574","53,6914893617021","53,3936170212766","53,1063829787234","52,1914893617021","9,09967303899483","8,90695825098736","9,50859043985098","9,69476977395697","10,6481121510626",54
146316,INST. MIXTO RENACER,52835,TUMACO,NARIÑO,A,NO OFICIAL,FIN DE SEMANA,12,"41,9166666666667","36,3333333333333","37,75","37,9166666666667","35,5","6,8815739919048","7,61975104977886","7,30037358944421","6,84182768422342","4,48228837658947",38
146324,INSTITUCION EDUCATIVA RENAN BARCO - SEDE PRINCIPAL,17380,LA DORADA,CALDAS,A,OFICIAL,TARDE,26,"45,5","39,7307692307692","41,9615384615385","45,2692307692308","44,1923076923077","6,98140387028282","7,35150429399422","7,02840391116372","6,23895947932148","7,16669648175074",43
146332,INSTITUCION EDUCATIVA RENAN BARCO - SEDE PRINCIPAL,17380,LA DORADA,CALDAS,A,OFICIAL,NOCTURNA,7,"45,2857142857143","38,5714285714286",40,"40,1428571428571","39,2857142857143","8,15913160645351","8,63823174145309","6,73300329224139","6,79285338741071","7,63138881450128",41
146340,INSTITUTO TÉCNICO AGROPECUARIO NASA WESX KIWE DE GRANADILLO,19137,CALDONO,CAUCA,A,OFICIAL,MAÑANA,19,"39,9473684210526","34,1052631578947","38,3684210526316","38,7894736842105","41,1052631578947","6,23140508687448","5,42519571425877","8,12547794365756","5,62315596804283","7,43785166744407",38
146357,INST EDUC FE Y ALEGRIA LUIS AMIGO,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,NOCTURNA,26,"47,1923076923077","38,8846153846154",42,"42,0384615384615","40,8846153846154","6,68741642650871","7,62798491386512","8,82723059628556","7,18599064419524","6,60500975367591",42
146449,SAN ANTONIO (sede principal),19355,INZA,CAUCA,A,OFICIAL,MAÑANA,5,"50,6","49,6",50,47,"47,8","9,37016542009798","13,9749776386225","4,41588043316392","6,28490254498827","2,38746727726266",49
146456,LAS MERCEDES,85225,NUNCHIA,CASANARE,A,OFICIAL,MAÑANA,7,"50,2857142857143","55,4285714285714","53,7142857142857","56,1428571428571","50,2857142857143","7,99404540297101","10,9370493104424","9,10520520937128","8,41483949992653","10,2260172389562",54
146464,IE SUPANECA - SEDE PRINCIPAL,15804,TIBANA,BOYACA,A,OFICIAL,COMPLETA,26,"52,1153846153846","54,8461538461538","51,2307692307692","53,2307692307692","47,4230769230769","9,60969062177102","11,1020441638189","8,89632594864955","8,99025113023076","7,8647216196027",52
146472,LA CARBONERA (sede principal),19100,BOLIVAR,CAUCA,A,OFICIAL,COMPLETA,10,"45,8","42,8","42,9","45,6",47,"6,62989860824097","7,800284895082","5,50656174234179","6,60302960768767","6,05530070819498",44
